car_id,brand,year,engine_size,fuel_type,transmission,mileage,condition,price,model
1,Tesla,2016,2.3,Petrol,Manual,114832,New,26613.92,Model X
2,BMW,2018,4.4,Electric,Manual,143190,Used,14679.61,5 Series
3,Audi,2013,4.5,Electric,Manual,181601,New,44402.61,A4
4,Tesla,2011,4.1,Diesel,Automatic,68682,New,86374.33,Model Y
5,Ford,2009,2.6,Diesel,Manual,223009,Like New,73577.1,Mustang
6,Audi,2019,2.4,Diesel,Automatic,246553,Like New,88969.76,Q7
7,Audi,2020,4.0,Electric,Automatic,135486,Used,63498.75,Q5
8,Tesla,2017,5.3,Hybrid,Automatic,83030,New,17381.19,Model Y
9,Honda,2023,5.7,Electric,Manual,120360,Like New,15905.62,Civic
10,Ford,2010,1.5,Electric,Automatic,135009,Like New,9560.22,Explorer
11,Tesla,2001,1.8,Diesel,Automatic,298875,Like New,58872.6,Model 3
12,Ford,2017,5.7,Electric,Automatic,169737,Used,28074.19,Mustang
13,Ford,2006,4.7,Petrol,Automatic,114360,New,74766.45,Fiesta
14,Audi,2023,5.4,Electric,Automatic,263894,Like New,70193.74,Q7
15,BMW,2014,2.0,Electric,Automatic,65018,New,35220.52,X3
16,Ford,2010,3.9,Electric,Automatic,240904,Used,21796.16,Mustang
17,Mercedes,2017,4.5,Electric,Automatic,136817,New,14728.03,GLA
18,Audi,2022,4.4,Hybrid,Automatic,192803,Like New,75044.95,A3
19,Honda,2011,3.0,Electric,Automatic,86984,New,47791.89,Civic
20,BMW,2005,1.1,Petrol,Automatic,290595,New,35735.34,X5
21,Mercedes,2019,3.9,Petrol,Automatic,192608,Used,86382.04,C-Class
22,Mercedes,2022,2.3,Electric,Manual,12150,Used,61393.26,E-Class
23,Honda,2012,3.3,Diesel,Manual,275550,New,54210.22,CR-V
24,BMW,2019,5.8,Hybrid,Automatic,150853,New,75621.02,X5
25,Audi,2015,3.0,Electric,Automatic,188489,New,82480.4,Q5
26,Toyota,2017,5.2,Electric,Automatic,18325,Used,70176.95,Camry
27,BMW,2009,1.9,Electric,Manual,199756,Used,46800.6,X3
28,Honda,2022,4.4,Diesel,Manual,204541,New,41033.39,Accord
29,Mercedes,2007,5.9,Diesel,Manual,17669,Used,78308.17,GLC
30,Audi,2017,1.5,Diesel,Automatic,207836,Like New,54201.18,A3
31,BMW,2020,1.0,Hybrid,Automatic,132915,Used,71916.68,X5
